hold0,hold1,hold2,hold3,flight01,flight12,flight23,label
791,737,696,261,249,282,429,4
875,792,825,724,322,378,208,4
1061,937,1046,713,248,197,189,4
809,847,797,890,192,227,243,4
894,895,843,765,218,211,194,4
1102,1271,846,886,622,359,219,4
857,864,744,824,192,215,226,4
942,813,917,877,154,277,123,4
938,942,837,906,162,179,239,4
925,890,882,935,199,164,260,4
913,972,787,890,126,173,194,4
983,940,895,992,152,223,191,4
896,956,977,937,145,179,133,4
1008,914,979,962,128,506,187,4
1026,949,877,1052,132,215,265,4
1012,883,948,880,128,289,158,4
964,801,738,789,136,207,191,4
682,628,599,571,206,253,306,4
650,578,479,503,206,279,306,4
475,428,457,450,283,335,383,4
453,453,328,387,323,284,370,4
425,454,373,365,243,348,335,4
302,406,376,376,380,314,338,4
347,399,353,341,326,283,327,4
297,354,302,326,341,302,365,4
306,291,311,370,367,338,383,4
315,428,356,355,400,254,279,4
304,350,323,346,320,267,250,4
471,442,400,450,184,243,276,4
412,463,448,519,240,234,255,4
499,477,452,528,206,199,207,4
577,531,484,486,221,210,227,4
673,614,574,629,144,177,156,4
692,625,551,582,135,185,206,4
564,581,581,564,166,158,182,4
527,595,545,549,214,153,194,4
496,577,540,482,196,157,161,4
763,643,546,563,143,192,171,4
505,499,447,494,193,162,189,4
587,533,464,537,146,182,203,4
532,480,468,559,131,196,151,4
508,451,450,485,248,152,173,4
544,447,344,407,194,204,234,4
507,470,355,524,115,174,220,4
472,592,548,580,218,151,116,4
604,538,533,538,104,148,151,4
509,502,502,576,170,160,183,4
641,568,639,547,113,171,144,4
626,643,562,626,143,171,137,4
524,577,533,561,168,156,182,4
663,593,614,525,126,149,177,4
